FireNum, XStart, YStart, Acres
345, 4537365.00, 3228497.00, 971.12
346, 4522543.00, 3242196.00, 1613.60
347, 4566171.00, 3223372.00, 5211.45
348, 4572016.00, 3243696.00, 879.70
349, 4568071.00, 3239762.00, 5740.26
350, 4554032.00, 3210825.00, 4974.23
351, 4539821.00, 3256927.00, 353.36
352, 4532005.00, 3222193.00, 14193.73
353, 4569963.00, 3227705.00, 2095.45
354, 4580610.00, 3241015.00, 3753.53
355, 4542438.00, 3201383.00, 2750.28
356, 4539346.00, 3258245.00, 1032.90
357, 4576863.00, 3253963.00, 953.83
358, 4527279.00, 3205890.00, 3671.99
359, 4545613.00, 3246444.00, 887.11
360, 4537837.00, 3238192.00, 2468.58
361, 4542431.00, 3239653.00, 904.41
362, 4524559.00, 3230158.00, 1467.81
363, 4528156.00, 3215694.00, 5354.77
364, 4549979.00, 3231781.00, 6046.67
365, 4517569.00, 3242059.00, 1247.88
366, 4538614.00, 3237978.00, 2300.55
367, 4530899.00, 3238554.00, 373.13
368, 4578186.00, 3260523.00, 1339.31
369, 4530513.00, 3215460.00, 3587.97
370, 4533101.00, 3244227.00, 778.38
371, 4552877.00, 3204239.00, 1077.38
372, 4563391.00, 3224036.00, 3004.80
373, 4583878.00, 3205350.00, 682.01
374, 4532501.00, 3230892.00, 1601.24
375, 4537270.00, 3249814.00, 677.07
376, 4539086.00, 3219556.00, 7818.41
377, 4562783.00, 3229674.00, 2668.74
378, 4563914.00, 3234156.00, 3538.55
379, 4581780.00, 3207807.00, 1178.69
380, 4584670.00, 3216615.00, 3162.95
381, 4577631.00, 3252436.00, 2409.28
382, 4557007.00, 3222126.00, 185.33
383, 4529492.00, 3201091.00, 1638.31
384, 4566376.00, 3217320.00, 1608.66
385, 4577291.00, 3241620.00, 1077.38
386, 4571452.00, 3203214.00, 1581.47
387, 4547332.00, 3210823.00, 2898.55
388, 4550145.00, 3213011.00, 2043.56
389, 4568482.00, 3261712.00, 872.28
390, 4577186.00, 3243247.00, 1524.64
391, 4543339.00, 3219742.00, 10964.07
392, 4537421.00, 3255050.00, 2303.02
393, 4528432.00, 3205234.00, 2231.36
394, 4572248.00, 3250265.00, 1616.07
395, 4582391.00, 3257572.00, 904.41
396, 4583226.00, 3217378.00, 2177.00
397, 4529761.00, 3213252.00, 2001.55
398, 4578404.00, 3219379.00, 2152.29
399, 4534723.00, 3241486.00, 2401.86
400, 4528548.00, 3219836.00, 13753.89
401, 4548741.00, 3226456.00, 2345.03
402, 4559593.00, 3238861.00, 3968.51
403, 4570201.00, 3253593.00, 2683.56
404, 4569162.00, 3238012.00, 9444.37
405, 4565284.00, 3237009.00, 4260.10
406, 4557613.00, 3215731.00, 1984.26
407, 4559509.00, 3232015.00, 2354.91
408, 4543937.00, 3218504.00, 12599.90
409, 4563916.00, 3224190.00, 4583.80
410, 4581026.00, 3236237.00, 3570.67
411, 4573043.00, 3244768.00, 1356.61
412, 4582509.00, 3234508.00, 3175.30
413, 4584369.00, 3254582.00, 2201.71
414, 4521090.00, 3245963.00, 2095.45
415, 4547979.00, 3223826.00, 2429.05
416, 4575571.00, 3216618.00, 1082.32
417, 4536039.00, 3258153.00, 3093.76
418, 4526513.00, 3250789.00, 2070.74
419, 4545967.00, 3199070.00, 2137.46
420, 4520748.00, 3232453.00, 654.83
421, 4527491.00, 3251569.00, 2204.18
422, 4533444.00, 3197232.00, 1460.39
423, 4523371.00, 3257151.00, 1591.36
424, 4559156.00, 3205860.00, 1368.96
425, 4573275.00, 3246143.00, 1747.04
426, 4522455.00, 3245824.00, 2859.01
427, 4568389.00, 3219028.00, 1682.79
428, 4561688.00, 3260249.00, 49.42
429, 4566957.00, 3230308.00, 3249.44
430, 4539231.00, 3222583.00, 3681.87
431, 4573128.00, 3254664.00, 2789.82
432, 4528794.00, 3205876.00, 4040.17
433, 4579037.00, 3232883.00, 4880.33
434, 4569373.00, 3219901.00, 3825.19
435, 4543455.00, 3260998.00, 84.02
436, 4519049.00, 3229735.00, 2567.42
437, 4546371.00, 3200977.00, 3365.58
438, 4564054.00, 3229678.00, 3496.54
439, 4538466.00, 3220175.00, 6963.43
440, 4541402.00, 3229793.00, 5265.82
441, 4559147.00, 3254076.00, 1065.02
442, 4526242.00, 3260671.00, 3286.50
443, 4577005.00, 3241563.00, 1161.40
444, 4533741.00, 3249511.00, 3271.68
445, 4573397.00, 3261725.00, 1114.45
446, 4557434.00, 3210509.00, 2446.34
447, 4532699.00, 3222535.00, 14811.50
448, 4534946.00, 3262780.00, 2436.46
449, 4526182.00, 3247254.00, 1801.40
450, 4530580.00, 3241361.00, 1991.67
451, 4557310.00, 3235299.00, 2767.58
452, 4538426.00, 3214431.00, 1097.15
453, 4584195.00, 3227955.00, 1354.14
454, 4529392.00, 3222976.00, 21063.26
455, 4543888.00, 3236574.00, 98.84
456, 4568323.00, 3253375.00, 360.77
457, 4534040.00, 3261645.00, 2881.25
458, 4518956.00, 3260839.00, 343.48
459, 4557316.00, 3262078.00, 158.15
